gene,AT2,Ciliated,Basal,AT1,Secretory,Goblet
AC105343.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC112242.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC079298.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC097467.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC096736.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
FNIP2,0.042828694,0.01914458,0.025452001,0.026624233,0.03480672,0.02844562
SMIM31,0.016215147,0.018316,0.023719477,0.016412055,0.038972035,0.036491055
AC106872.9,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
MSMO1,0.046797592,0.024082385,0.02748552,0.036117613,0.037731435,0.037697505
AC079349.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
PALLD,0.029016618,0.023817902,0.036418024,0.043786097,0.036716063,0.029967852
AC093849.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
HAND2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC012055.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC012055.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
GPM6A,0.033927396,0.013524617,0.0157779,0.052794743,0.013118811,0.015534129
SPATA4,0.015592133,0.022134852,0.013058607,0.013192558,0.012680312,0.01288822
AC092673.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC079226.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
WWC2,0.040190816,0.017456805,0.023556326,0.05571878,0.029248638,0.023823591
C4orf47,0.022803867,0.030048883,0.014496644,0.023994321,0.018450573,0.014440142
AC108865.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
LINC02514,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC093763.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
LINC02434,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC107391.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
LINC01262,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
TRIP13,0.017956272,0.023916736,0.02231978,0.017569708,0.0145342825,0.020633034
LPCAT1,0.049924072,0.016568916,0.023686757,0.042551078,0.028540827,0.023270963
AC025183.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC094105.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC025773.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
LINC02114,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC026719.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC026415.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC010451.3,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC010451.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC010266.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
LINC02123,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC027343.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
C5orf49,0.027139165,0.053244065,0.02099322,0.019542085,0.026223736,0.022480289
SEMA5A,0.029269544,0.015309114,0.034543663,0.04976985,0.020773308,0.026469456
AC034229.3,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
ROPN1L,0.016492803,0.04587167,0.019282624,0.017925117,0.020025276,0.020589536
LINC01513,0.012597545,0.021259185,0.013653674,0.012822076,0.013679165,0.013892677
AC012629.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
DNAH5,0.03700672,0.04957081,0.021738678,0.03177597,0.03463348,0.027647939
BASP1,0.024911497,0.032810155,0.02910056,0.026000276,0.019968554,0.026692465
LINC02146,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC010445.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC010387.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
LINC02239,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC106821.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
LINC02103,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC034223.2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
SPEF2,0.027485523,0.04027386,0.021259185,0.029454082,0.021214342,0.0196493
CAPSL,0.016849462,0.05187885,0.021140652,0.016985869,0.021844322,0.021623146
LINC02110,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
EGFLAM-AS3,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
EGFLAM-AS2,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
EGFLAM-AS1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
C6,0.013960333,0.024791209,0.012107106,0.016844705,0.01464248,0.012428831
AC093292.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
AC022441.1,-0.009368794,-0.009368793,-0.009368793,-0.009351721,-0.009394405,-0.009360258
