gene,AT1,AT2,Basal,Ciliated,Goblet,Secretory,KRT5-/KRT17+
PLA2G2E,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
PLA2G2F,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
PLA2G2C,-0.0048165284,-0.004851742,-0.0055885944,0.016329927,-0.0054996456,-0.005405569,-0.0055836546
UBXN10,-0.0048165284,0.025484568,0.019910192,0.032038245,0.025543641,0.022579987,0.025979487
VWA5B1,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
LINC01141,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
FAM43B,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
ECE1,0.032901168,0.028053384,0.03871473,0.023792991,0.03619201,0.035701502,0.038663764
ALPL,0.03126981,0.044220876,0.027411247,0.020525621,0.036752887,0.032072894,0.034042925
CELA3A,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
EPHA8,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
C1QA,0.03889439,0.038521826,0.026126679,0.02897895,0.03171968,0.043063845,0.027225276
EPHB2,0.029540021,0.022015825,0.027383495,0.019948058,0.028821668,0.023602396,0.035875484
STMN1,0.036510564,0.03202361,0.038622722,0.02587837,0.032012366,0.031265322,0.044937097
TRIM63,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
UBXN11,0.028940955,0.030119864,0.028560441,0.034278788,0.028244704,0.026357498,0.029965645
ZNF683,-0.0048165284,-0.004851742,-0.0055885944,-0.006021534,-0.0054996456,-0.005405569,-0.0055836546
LIN28A,-0.0048165284,0.022015825,-0.0055885944,0.017530393,-0.0054996456,-0.005405569,-0.0055836546
SFN,0.03796425,0.041634087,0.047741394,0.023884896,0.03761499,0.034342084,0.049792394
CD164L2,0.027661894,0.02872552,0.028382938,0.032906916,0.025656262,0.024104524,0.023501743
SERINC2,0.035904817,0.034307458,0.03823187,0.025061673,0.03872194,0.036741965,0.043257225
DCDC2B,0.029148323,0.027095823,0.021928547,0.02997439,0.02411446,0.022029217,0.020957056
